Name,Height_metres,Year
One World Trade Center,541,2014
Central Park Tower*,472,2020
111 West 57th Street*,435,2020
One Vanderbilt,427,2020
432 Park Avenue,426,2015
30 Hudson Yards,386,2019
Empire State Building,381,1931
Bank of America Tower,366,2009
3 World Trade Center,329,2018
53W53,320,2019
Chrysler Building,319,1930
The New York Times Building,319,2007
35 Hudson Yards,308,2019
One57,306,2014
1 Manhattan West,303,2019
4 World Trade Center,298,2013
220 Central Park South,290,2019
70 Pine Street,290,1932
Four Seasons Hotel New York Downtown,286,2016
40 Wall Street,283,1930
Citigroup Center,279,1977
15 Hudson Yards,278,2019
125 Greenwich Street*,278,2020
425 Park Avenue*,273,2020
10 Hudson Yards,268,2016
8 Spruce Street,265,2011
Trump World Tower,262,2001
30 Rockefeller Plaza,259,1933
One Manhattan Square,258,2019
56 Leonard Street,250,2016
CitySpire Center,248,1987
28 Liberty Street,248,1961
4 Times Square,247,1999
MetLife Building,246,1963
731 Lexington Avenue,246,2004
138 East 50th Street,245,2019
130 William Street*,244,2020
126 Madison Avenue*,244,2021
Woolworth Building,241,1913
111 Murray Street,241,2018
520 Park Avenue,238,2018
50 West Street,237,2018
One Worldwide Plaza,237,1989
55 Hudson Yards,237,2019
Skyline Tower*,237,2021
Madison Square Park Tower,237,2017
19 Dutch,231,2019
Carnegie Hall Tower,231,1991
383 Madison Avenue,230,2001
29-37 41st Avenue,230,2021
1717 Broadway,230,2013
AXA Equitable Center,229,1986
1251 Avenue of the Americas,229,1971
One Penn Plaza,229,1972
Time Warner Center North Tower,229,2003
Time Warner Center South Tower,229,2003
200 West Street,229,2010
One Astor Plaza,227,1972
60 Wall Street,227,1989
One Liberty Plaza,226,1973
7 World Trade Center,226,2006
20 Exchange Place,226,1931
200 Vesey Street,225,1986
ARO,225,2018
1540 Broadway,223,1990
3 Manhattan West,223,2017
Times Square Tower,221,2004
Brooklyn Point*,219,2020
Metropolitan Tower,218,1985
252 East 57th Street,218,2017
100 East 53rd Street,217,2017
270 Park Avenue,215,1960
General Motors Building,215,1968
25 Park Row*,214,2020
Metropolitan Life Insurance Company Tower,213,1909
500 Fifth Avenue,212,1931
Americas Tower,211,1992
Solow Building,210,1974
140 Broadway,210,1967
277 Park Avenue,209,1963
55 Water Street,209,1972
5 Beekman Street,209,2015
Morgan Stanley Building,209,1989
Penguin Random House Tower,208,2003
Four Seasons Hotel New York,208,1993
Sky,206,2015
1221 Avenue of the Americas,205,1972
One Grand Central Place,205,1930
One Court Square,205,1990
Barclay Tower,205,2007
277 Fifth Avenue,205,2019
Paramount Plaza,204,1970
161 Maiden Lane*,204,2020
200 Amsterdam*,204,2020
45 Park Place*,203,2020
Trump Tower,202,1982
1 Wall Street,199,1932
599 Lexington Avenue,199,1986
Silver Towers I,199,2009
Silver Towers II,199,2009
712 Fifth Avenue,198,1990
Chanin Building,198,1929
245 Park Avenue,198,1967
550 Madison Avenue,197,1983
Tower 28,197,2016
225 Liberty Street,197,1986
1095 Avenue of the Americas,196,1974
General Electric Building,196,1931
1 New York Plaza,195,1969
Rose Hill*,195,2020
MiMA,194,2011
One Dag Hammarskjöld Plaza,194,1972
345 Park Avenue,193,1969
10 East 40th Street,193,1929
"The Langham, New York",193,2010
Home Insurance Plaza,192,1966
W. R. Grace Building,192,1972
W New York Downtown Hotel and Residences,192,2010
101 Park Avenue,192,1982
888 7th Avenue,191,1971
Central Park Place,191,1988
Waldorf Astoria New York,191,1931
1345 Avenue of the Americas,191,1969
Trump Palace Condominiums,190,1991
One Madison,189,2010
Olympic Tower,189,1976
11 Hoyt*,189,2020
425 Fifth Avenue,188,2003
New York Life Building,187,1928
919 Third Avenue,187,1970
Tower 49,187,1985
750 7th Avenue,187,1989
The Epic,187,2007
Eventi,187,2010
555TEN,187,2016
The Hub,186,2016
Credit Lyonnais Building,186,1964
Baccarat Hotel and Residences,184,2014
The Orion,184,2006
590 Madison Avenue,184,1983
250 West 55th Street,183,2013
Eleven Times Square,183,2011
1166 Avenue of the Americas,183,1974
